Id,Neighborhood,OverallQual,YearBuilt,CentralAir,GrLivArea,FullBath,BedroomAbvGr,GarageCars,SalePrice
507,NAmes,5,1955,Y,1092,1,3,1,147000
508,CollgCr,7,1990,Y,1297,1,3,2,153000
509,NWAmes,6,1973,Y,2090,2,3,2,200000
510,NridgHt,9,2004,Y,2422,2,3,3,317000
511,CollgCr,6,2009,Y,1028,1,2,2,149900
512,OldTown,6,1920,N,1040,1,3,2,80000
513,NAmes,5,1959,Y,1752,2,3,1,141000
514,Crawfor,7,1915,Y,1717,1,3,3,140000
515,CollgCr,7,2004,Y,1560,2,3,2,189000
516,Edwards,4,1953,Y,1366,1,3,1,141500
517,SWISU,4,1957,Y,1258,1,3,1,130000
518,Edwards,5,1958,Y,1296,1,3,1,141000
519,CollgCr,5,2001,Y,1456,1,3,2,158000
520,BrkSide,5,1920,Y,1013,1,3,1,138000
521,NAmes,5,1953,Y,1253,2,3,1,109000
522,ClearCr,6,1952,Y,1484,2,3,2,137000
523,Edwards,5,1958,Y,1296,1,3,1,141000
524,NAmes,5,1953,Y,1253,2,3,1,109000
525,NridgHt,8,2003,Y,1735,1,3,3,226000
526,NAmes,5,1959,Y,1752,2,3,1,141000
527,Sawyer,5,1962,Y,912,1,2,1,144000
528,Somerst,8,2004,Y,2945,2,3,3,438780
529,NWAmes,6,1978,Y,1114,1,3,2,147500
530,CollgCr,7,2005,Y,1547,2,3,2,185000
531,CollgCr,5,2001,Y,1456,1,3,2,158000
532,NAmes,5,1953,Y,1253,2,3,1,109000
533,CollgCr,7,2003,Y,1710,2,3,2,208500
534,CollgCr,7,2001,Y,1786,2,3,2,223500
535,NridgHt,7,2005,Y,1718,2,3,3,301000
536,OldTown,9,1921,Y,1210,2,3,1,140000
537,Sawyer,5,1968,Y,1060,1,3,1,154000
538,ClearCr,6,1957,Y,1309,1,3,2,170000
539,CollgCr,7,2005,Y,1456,2,3,2,179900
540,CollgCr,7,1990,Y,1297,1,3,2,153000
541,Mitchel,5,1993,Y,1362,1,1,2,143000
542,Somerst,8,2004,Y,2945,2,3,3,438780
543,Edwards,5,1949,Y,1445,1,3,1,130250
544,NAmes,5,1959,Y,1752,2,3,1,141000
545,Edwards,5,1918,N,1034,1,2,1,85000
546,NAmes,5,1959,Y,1752,2,3,1,141000
547,CollgCr,5,2001,Y,1456,1,3,2,158000
548,NWAmes,6,1966,Y,1674,1,3,2,210000
549,NAmes,5,1969,Y,1339,1,3,1,139000
550,OldTown,5,1910,Y,981,1,2,1,107500
551,CollgCr,7,2004,Y,1560,2,3,2,189000
552,Edwards,5,1958,Y,1296,1,3,1,141000
553,NWAmes,6,1978,Y,1114,1,3,2,147500
554,NAmes,5,1957,Y,1225,1,3,2,172500
555,Somerst,8,2009,Y,1629,2,3,2,325000
556,NWAmes,6,1966,Y,1674,1,3,2,210000
557,Edwards,4,1920,Y,942,1,3,0,113000
558,NWAmes,6,1971,Y,1494,2,3,2,171000
559,NAmes,7,2006,Y,1253,1,2,2,246500
560,SWISU,4,1957,Y,1258,1,3,1,130000
561,CollgCr,7,2003,Y,1710,2,3,2,208500
562,BrkSide,5,1920,Y,1013,1,3,1,138000
563,CollgCr,7,2001,Y,1786,2,3,2,223500
564,OldTown,7,1929,Y,1600,1,2,1,132000
565,NAmes,5,1957,Y,1225,1,3,2,172500
566,OldTown,5,1910,Y,981,1,2,1,107500
567,NridgHt,9,2005,Y,2324,3,4,3,345000
568,ClearCr,6,1952,Y,1484,2,3,2,137000
569,OldTown,7,1929,Y,1600,1,2,1,132000
570,CollgCr,7,2005,Y,1547,2,3,2,185000
571,Somerst,7,2002,Y,1158,2,3,2,239000
572,CollgCr,7,2004,Y,1704,2,3,2,213500
573,NWAmes,6,1973,Y,2090,2,3,2,200000
574,CollgCr,7,2004,Y,1560,2,3,2,189000
575,NWAmes,6,1973,Y,2090,2,3,2,200000
576,Somerst,8,2004,Y,2945,2,3,3,438780
577,OldTown,6,1922,Y,1316,1,3,1,118000
578,OldTown,4,1932,Y,1235,1,3,1,127000
579,CollgCr,7,2004,Y,1704,2,3,2,213500
580,CollgCr,6,1977,Y,1108,1,3,2,160000
581,CollgCr,6,1998,Y,1473,2,3,2,219500
582,NAmes,5,1951,Y,1600,1,3,2,134800
583,OldTown,9,1921,Y,1210,2,3,1,140000
584,CollgCr,6,2009,Y,1028,1,2,2,149900
585,NAmes,5,1951,Y,1290,1,2,2,144500
586,CollgCr,7,2005,Y,1456,2,3,2,179900
587,NridgHt,9,2008,Y,1619,2,3,3,315750
588,Sawyer,5,1962,Y,912,1,2,1,144000
589,Somerst,7,2003,Y,1844,2,2,2,242000
590,NridgHt,9,2004,Y,2411,3,4,3,309000
591,Mitchel,5,1993,Y,1362,1,1,2,143000
592,ClearCr,7,1953,Y,1503,1,3,2,225000
593,NWAmes,6,1966,Y,1674,1,3,2,210000
594,Sawyer,5,1968,Y,1060,1,3,1,154000
595,NAmes,8,1970,Y,1699,1,3,2,180000
596,BrkSide,5,1939,Y,1077,1,2,1,118000
597,ClearCr,6,1957,Y,1309,1,3,2,170000
598,BrkSide,5,1927,N,854,1,2,1,68500
599,NoRidge,8,2000,Y,2198,2,4,3,250000
600,CollgCr,7,2005,Y,1456,2,3,2,179900
601,NridgHt,9,2004,Y,2422,2,3,3,317000
602,Somerst,8,2009,Y,1629,2,3,2,325000
603,Edwards,4,1920,Y,942,1,3,0,113000
604,Sawyer,5,1965,Y,1040,1,3,1,129500
605,NridgHt,9,2007,Y,1603,2,3,3,256300
606,OldTown,9,1921,Y,1210,2,3,1,140000
607,BrkSide,5,1922,N,1092,1,3,1,124000
608,NAmes,5,1951,Y,1600,1,3,2,134800
609,Edwards,4,1920,Y,942,1,3,0,113000
610,CollgCr,7,2005,Y,1456,2,3,2,179900
611,CollgCr,7,2003,Y,1710,2,3,2,208500
612,NAmes,5,1969,Y,1339,1,3,1,139000
613,NAmes,5,1955,Y,1320,1,3,2,180500
614,Mitchel,5,1993,Y,1362,1,1,2,143000
615,ClearCr,7,1953,Y,1503,1,3,2,225000
616,NoRidge,8,2000,Y,2198,2,4,3,250000
617,CollgCr,7,2001,Y,1786,2,3,2,223500
618,SWISU,6,1963,Y,1547,2,3,2,110000
619,Mitchel,6,1994,Y,1328,1,3,2,145500
620,SWISU,6,1963,Y,1547,2,3,2,110000
621,NAmes,5,1955,Y,1092,1,3,1,147000
622,ClearCr,6,1952,Y,1484,2,3,2,137000
623,ClearCr,6,1952,Y,1484,2,3,2,137000
624,CollgCr,6,2009,Y,1028,1,2,2,149900
625,NAmes,5,1951,Y,1290,1,2,2,144500
626,CollgCr,7,2003,Y,1710,2,3,2,208500
627,CollgCr,7,2000,Y,1593,2,3,2,177000
628,NAmes,5,1959,Y,1752,2,3,1,141000
629,Crawfor,7,1915,Y,1717,1,3,3,140000
630,NridgHt,7,2005,Y,1718,2,3,3,301000
631,NridgHt,9,2004,Y,2422,2,3,3,317000
632,Edwards,5,1918,N,1034,1,2,1,85000
633,Somerst,8,2002,Y,1502,2,3,2,230000
634,CollgCr,7,2005,Y,1547,2,3,2,185000
635,NAmes,5,1953,Y,1253,2,3,1,109000
636,NridgHt,9,2007,Y,1603,2,3,3,256300
637,Somerst,8,2002,Y,1502,2,3,2,230000
638,BrkSide,5,1920,Y,1013,1,3,1,138000
639,CollgCr,7,2001,Y,1786,2,3,2,223500
640,OldTown,4,1932,Y,1235,1,3,1,127000
641,NridgHt,9,2005,Y,2324,3,4,3,345000
642,NridgHt,9,2004,Y,2422,2,3,3,317000
643,BrkSide,5,1920,Y,1013,1,3,1,138000
644,NoRidge,8,2000,Y,2198,2,4,3,250000
645,NAmes,5,1957,Y,1225,1,3,2,172500
646,CollgCr,6,2009,Y,1028,1,2,2,149900
647,NWAmes,6,1966,Y,1674,1,3,2,210000
648,Mitchel,6,1994,Y,1328,1,3,2,145500
649,NWAmes,6,1971,Y,1494,2,3,2,171000
650,NAmes,8,1970,Y,1699,1,3,2,180000
651,OldTown,5,1910,Y,981,1,2,1,107500
652,CollgCr,7,2000,Y,1593,2,3,2,177000
653,CollgCr,7,1990,Y,1297,1,3,2,153000
654,CollgCr,6,1998,Y,1473,2,3,2,219500
655,CollgCr,7,1990,Y,1297,1,3,2,153000
656,OldTown,4,1932,Y,1235,1,3,1,127000
657,BrkSide,5,1927,N,854,1,2,1,68500
658,CollgCr,7,2000,Y,1593,2,3,2,177000
659,OldTown,9,1921,Y,1210,2,3,1,140000
660,Somerst,8,2006,Y,1608,2,3,2,284000
661,CollgCr,7,1990,Y,1297,1,3,2,153000
662,BrkSide,5,1927,N,854,1,2,1,68500
663,CollgCr,7,2000,Y,1593,2,3,2,177000
664,NoRidge,8,2000,Y,2198,2,4,3,250000
665,NridgHt,9,2008,Y,1619,2,3,3,315750
666,Crawfor,7,1915,Y,1717,1,3,3,140000
667,BrkSide,5,1939,Y,1077,1,2,1,118000
668,ClearCr,6,1957,Y,1309,1,3,2,170000
669,CollgCr,6,2009,Y,1028,1,2,2,149900
670,ClearCr,6,1952,Y,1484,2,3,2,137000
671,CollgCr,6,2009,Y,1028,1,2,2,149900
672,ClearCr,7,1953,Y,1503,1,3,2,225000
673,Somerst,8,2002,Y,1502,2,3,2,230000
674,Mitchel,5,1993,Y,1362,1,1,2,143000
675,SWISU,6,1963,Y,1547,2,3,2,110000
676,NAmes,8,1970,Y,1699,1,3,2,180000
677,CollgCr,7,2008,Y,1447,2,3,2,204000
678,OldTown,5,1910,Y,981,1,2,1,107500
679,Mitchel,6,1994,Y,1328,1,3,2,145500
680,NAmes,5,1955,Y,1320,1,3,2,180500
681,OldTown,5,1910,Y,981,1,2,1,107500
682,OldTown,7,1929,Y,1600,1,2,1,132000
683,NWAmes,6,1973,Y,2090,2,3,2,200000
684,Crawfor,7,1915,Y,1717,1,3,3,140000
685,Crawfor,7,1915,Y,1717,1,3,3,140000
686,ClearCr,6,1957,Y,1309,1,3,2,170000
687,Sawyer,5,1968,Y,1060,1,3,1,154000
688,NridgHt,8,2003,Y,1735,1,3,3,226000
689,NridgHt,8,2003,Y,1735,1,3,3,226000
690,NAmes,5,1951,Y,1600,1,3,2,134800
691,Edwards,5,1918,N,1034,1,2,1,85000
692,OldTown,4,1932,Y,1235,1,3,1,127000
693,CollgCr,5,2001,Y,1456,1,3,2,158000
694,CollgCr,7,2000,Y,1593,2,3,2,177000
695,Edwards,5,1958,Y,1296,1,3,1,141000
696,NAmes,5,1969,Y,1339,1,3,1,139000
697,NoRidge,8,2000,Y,2198,2,4,3,250000
698,NAmes,5,1959,Y,1248,1,2,1,170000
699,CollgCr,5,2001,Y,1456,1,3,2,158000
700,NridgHt,9,2005,Y,2338,2,3,3,311500
701,NAmes,5,1969,Y,1339,1,3,1,139000
702,Edwards,4,1953,Y,1366,1,3,1,141500
703,CollgCr,7,2003,Y,1710,2,3,2,208500
704,NoRidge,8,2000,Y,2198,2,4,3,250000
705,NridgHt,9,2005,Y,2324,3,4,3,345000
706,Somerst,7,2003,Y,1844,2,2,2,242000
707,Somerst,8,2002,Y,1502,2,3,2,230000
708,Edwards,4,1920,Y,942,1,3,0,113000
709,NAmes,5,1959,Y,1752,2,3,1,141000
710,NAmes,5,1951,Y,1600,1,3,2,134800
711,NAmes,5,1951,Y,1290,1,2,2,144500
712,NridgHt,9,2007,Y,1603,2,3,3,256300
713,NWAmes,6,1966,Y,1674,1,3,2,210000
714,ClearCr,6,1957,Y,1309,1,3,2,170000
715,OldTown,9,1921,Y,1210,2,3,1,140000
716,NAmes,5,1966,Y,1616,1,3,2,128000
717,CollgCr,5,2001,Y,1456,1,3,2,158000
718,NridgHt,9,2007,Y,1603,2,3,3,256300
719,CollgCr,7,2004,Y,1560,2,3,2,189000
720,CollgCr,7,2003,Y,1710,2,3,2,208500
721,NWAmes,6,1973,Y,2090,2,3,2,200000
722,Somerst,8,2006,Y,1608,2,3,2,284000
723,NWAmes,6,1966,Y,1674,1,3,2,210000
724,ClearCr,6,1957,Y,1309,1,3,2,170000
725,NWAmes,6,1971,Y,1494,2,3,2,171000
726,CollgCr,7,2004,Y,1704,2,3,2,213500
727,Veenker,6,1976,Y,1262,2,3,2,181500
728,NridgHt,9,2007,Y,1603,2,3,3,256300
729,NWAmes,6,1971,Y,1494,2,3,2,171000
730,BrkSide,5,1922,N,1092,1,3,1,124000
731,ClearCr,6,1957,Y,1309,1,3,2,170000
732,Somerst,7,2004,Y,1694,2,3,2,307000
733,CollgCr,7,2001,Y,1786,2,3,2,223500
734,Mitchel,6,1994,Y,1328,1,3,2,145500
735,Somerst,8,2009,Y,1629,2,3,2,325000
736,CollgCr,7,1990,Y,1297,1,3,2,153000
737,NAmes,7,2006,Y,1253,1,2,2,246500
738,CollgCr,6,1998,Y,1473,2,3,2,219500
739,CollgCr,7,2004,Y,1704,2,3,2,213500
740,ClearCr,6,1952,Y,1484,2,3,2,137000
741,NAmes,5,1953,Y,1253,2,3,1,109000
742,NAmes,5,1957,Y,1225,1,3,2,172500
743,CollgCr,6,2009,Y,1028,1,2,2,149900
744,Edwards,5,1949,Y,1445,1,3,1,130250
745,Sawyer,5,1968,Y,1060,1,3,1,154000
746,CollgCr,6,2009,Y,1028,1,2,2,149900
747,Sawyer,5,1962,Y,912,1,2,1,144000
748,Sawyer,5,1968,Y,1060,1,3,1,154000
749,OldTown,6,1945,Y,1360,1,3,2,143000
750,BrkSide,5,1939,Y,1077,1,2,1,118000
751,NridgHt,8,2003,Y,1735,1,3,3,226000
752,Somerst,8,2009,Y,1629,2,3,2,325000
753,Somerst,8,2002,Y,1502,2,3,2,230000
754,NWAmes,6,1973,Y,2090,2,3,2,200000
755,OldTown,4,1920,Y,1152,2,2,1,82000
756,NAmes,5,1959,Y,1248,1,2,1,170000
757,CollgCr,6,1977,Y,1108,1,3,2,160000
758,Mitchel,5,1993,Y,1362,1,1,2,143000
759,Somerst,8,2006,Y,1608,2,3,2,284000
760,NridgHt,9,2007,Y,1603,2,3,3,256300
761,CollgCr,6,1998,Y,1473,2,3,2,219500
762,BrkSide,5,1922,N,1092,1,3,1,124000
763,ClearCr,6,1957,Y,1309,1,3,2,170000
764,BrkSide,5,1922,N,1092,1,3,1,124000
765,Edwards,4,1953,Y,1366,1,3,1,141500
766,CollgCr,7,2005,Y,1456,2,3,2,179900
767,SWISU,6,1963,Y,1547,2,3,2,110000
768,NridgHt,9,2005,Y,2338,2,3,3,311500
769,NAmes,5,1969,Y,1339,1,3,1,139000
770,Edwards,4,1953,Y,1366,1,3,1,141500
771,Edwards,4,1953,Y,1366,1,3,1,141500
772,Crawfor,7,1915,Y,1717,1,3,3,140000
773,OldTown,5,1910,Y,981,1,2,1,107500
774,NridgHt,7,2005,Y,1718,2,3,3,301000
775,NridgHt,7,2005,Y,1718,2,3,3,301000
776,Somerst,7,2002,Y,1158,2,3,2,239000
777,NAmes,5,1955,Y,1320,1,3,2,180500
778,OldTown,7,1931,Y,1774,2,2,2,129900
779,CollgCr,7,2001,Y,1786,2,3,2,223500
780,SWISU,4,1957,Y,1258,1,3,1,130000
781,OldTown,4,1920,Y,1152,2,2,1,82000
782,CollgCr,7,2004,Y,1560,2,3,2,189000
783,Somerst,7,2002,Y,1158,2,3,2,239000
784,Mitchel,5,1993,Y,1362,1,1,2,143000
785,NAmes,8,1970,Y,1699,1,3,2,180000
786,OldTown,5,1910,Y,981,1,2,1,107500
787,Crawfor,7,1915,Y,1717,1,3,3,140000
788,Mitchel,5,1993,Y,1362,1,1,2,143000
789,CollgCr,7,2000,Y,1593,2,3,2,177000
790,NridgHt,7,2005,Y,1718,2,3,3,301000
791,NAmes,5,1957,Y,1225,1,3,2,172500
792,NAmes,8,1970,Y,1699,1,3,2,180000
793,OldTown,5,1910,Y,981,1,2,1,107500
794,NWAmes,6,1973,Y,2090,2,3,2,200000
795,NridgHt,9,2007,Y,1603,2,3,3,256300
796,CollgCr,7,2000,Y,1593,2,3,2,177000
797,NAmes,5,1959,Y,1752,2,3,1,141000
798,Edwards,5,1949,Y,1445,1,3,1,130250
799,NoRidge,8,2000,Y,2198,2,4,3,250000
800,Edwards,4,1953,Y,1366,1,3,1,141500
801,NridgHt,9,2007,Y,1603,2,3,3,256300
802,OldTown,6,1945,Y,1360,1,3,2,143000
803,Edwards,5,1958,Y,1296,1,3,1,141000
804,NWAmes,6,1978,Y,1114,1,3,2,147500
805,NridgHt,9,2005,Y,2324,3,4,3,345000
806,NWAmes,6,1966,Y,1674,1,3,2,210000
807,CollgCr,7,2003,Y,1710,2,3,2,208500
808,NWAmes,6,1971,Y,1494,2,3,2,171000
809,CollgCr,6,1998,Y,1473,2,3,2,219500
810,CollgCr,7,1990,Y,1297,1,3,2,153000
811,NAmes,5,1955,Y,1092,1,3,1,147000
812,Sawyer,5,1965,Y,1040,1,3,1,129500
813,CollgCr,7,2001,Y,1786,2,3,2,223500
814,CollgCr,7,2005,Y,1456,2,3,2,179900
815,Mitchel,5,1993,Y,1362,1,1,2,143000
816,OldTown,4,1932,Y,1235,1,3,1,127000
817,BrkSide,5,1939,Y,1077,1,2,1,118000
818,NoRidge,8,2000,Y,2198,2,4,3,250000
819,Mitchel,6,1994,Y,1328,1,3,2,145500
820,BrkSide,5,1939,Y,1077,1,2,1,118000
821,Edwards,5,1949,Y,1445,1,3,1,130250
822,Veenker,6,1976,Y,1262,2,3,2,181500
823,Sawyer,5,1962,Y,912,1,2,1,144000
824,OldTown,4,1920,Y,1152,2,2,1,82000
825,Veenker,6,1976,Y,1262,2,3,2,181500
826,NridgHt,9,2004,Y,2422,2,3,3,317000
827,OldTown,9,1921,Y,1210,2,3,1,140000
828,NAmes,5,1951,Y,1290,1,2,2,144500
829,CollgCr,6,2009,Y,1028,1,2,2,149900
830,OldTown,7,1931,Y,1774,2,2,2,129900
831,OldTown,5,1910,Y,981,1,2,1,107500
832,NAmes,7,2006,Y,1253,1,2,2,246500
833,Somerst,7,2002,Y,1158,2,3,2,239000
834,CollgCr,7,1990,Y,1297,1,3,2,153000
835,NridgHt,9,2004,Y,2411,3,4,3,309000
836,Edwards,4,1920,Y,942,1,3,0,113000
837,ClearCr,7,1953,Y,1503,1,3,2,225000
838,NridgHt,7,2005,Y,1718,2,3,3,301000
839,OldTown,6,1922,Y,1316,1,3,1,118000
840,OldTown,4,1932,Y,1235,1,3,1,127000
841,OldTown,5,1910,Y,981,1,2,1,107500
842,OldTown,7,1931,Y,1774,2,2,2,129900
843,Somerst,8,2002,Y,1502,2,3,2,230000
844,NridgHt,9,2004,Y,2411,3,4,3,309000
845,CollgCr,7,2003,Y,1710,2,3,2,208500
846,OldTown,4,1920,Y,1152,2,2,1,82000
847,CollgCr,6,1998,Y,1473,2,3,2,219500
848,NridgHt,9,2005,Y,2338,2,3,3,311500
849,OldTown,6,1922,Y,1316,1,3,1,118000
850,CollgCr,6,1998,Y,1473,2,3,2,219500
851,CollgCr,7,2005,Y,1547,2,3,2,185000
852,Sawyer,5,1965,Y,1040,1,3,1,129500
853,NWAmes,6,1971,Y,1494,2,3,2,171000
854,OldTown,6,1922,Y,1316,1,3,1,118000
855,BrkSide,5,1927,N,854,1,2,1,68500
856,NridgHt,9,2004,Y,2411,3,4,3,309000
857,NAmes,5,1955,Y,1092,1,3,1,147000
858,NoRidge,8,2000,Y,2198,2,4,3,250000
859,NridgHt,9,2007,Y,1603,2,3,3,256300
860,NridgHt,7,2005,Y,1718,2,3,3,301000
861,Crawfor,7,1915,Y,1717,1,3,3,140000
862,NAmes,5,1959,Y,1248,1,2,1,170000
863,Somerst,8,2009,Y,1629,2,3,2,325000
864,OldTown,4,1920,Y,1152,2,2,1,82000
865,CollgCr,7,2005,Y,1547,2,3,2,185000
866,NAmes,5,1953,Y,1253,2,3,1,109000
867,NWAmes,6,1971,Y,1494,2,3,2,171000
868,Edwards,5,1918,N,1034,1,2,1,85000
869,CollgCr,7,2000,Y,1593,2,3,2,177000
870,CollgCr,7,1990,Y,1297,1,3,2,153000
871,Mitchel,6,1994,Y,1328,1,3,2,145500
872,OldTown,9,1921,Y,1210,2,3,1,140000
873,NAmes,7,2006,Y,1253,1,2,2,246500
874,Sawyer,5,1968,Y,1060,1,3,1,154000
875,CollgCr,6,2009,Y,1028,1,2,2,149900
876,NAmes,8,1970,Y,1699,1,3,2,180000
877,SWISU,6,1963,Y,1547,2,3,2,110000
878,CollgCr,7,2000,Y,1593,2,3,2,177000
879,NAmes,5,1953,Y,1253,2,3,1,109000
880,CollgCr,7,2000,Y,1593,2,3,2,177000
881,Edwards,4,1953,Y,1366,1,3,1,141500
882,Mitchel,5,1993,Y,1362,1,1,2,143000
883,NridgHt,8,2003,Y,1735,1,3,3,226000
884,Somerst,7,2004,Y,1694,2,3,2,307000
885,CollgCr,7,2000,Y,1593,2,3,2,177000
886,CollgCr,7,2005,Y,1547,2,3,2,185000
887,NAmes,5,1959,Y,1248,1,2,1,170000
888,CollgCr,6,1998,Y,1473,2,3,2,219500
889,NAmes,7,2006,Y,1253,1,2,2,246500
890,NridgHt,9,2008,Y,1619,2,3,3,315750
891,CollgCr,7,2005,Y,1456,2,3,2,179900
892,NAmes,5,1951,Y,1600,1,3,2,134800
893,CollgCr,7,2004,Y,1560,2,3,2,189000
894,NridgHt,9,2008,Y,1619,2,3,3,315750
895,CollgCr,7,1990,Y,1297,1,3,2,153000
896,NAmes,5,1957,Y,1225,1,3,2,172500
897,NAmes,5,1951,Y,1600,1,3,2,134800
898,NAmes,5,1955,Y,1320,1,3,2,180500
899,CollgCr,7,2005,Y,1456,2,3,2,179900
900,OldTown,6,1945,Y,1360,1,3,2,143000
901,NAmes,8,1970,Y,1699,1,3,2,180000
902,BrkSide,5,1939,Y,1077,1,2,1,118000
903,NoRidge,8,2000,Y,2198,2,4,3,250000
904,ClearCr,6,1952,Y,1484,2,3,2,137000
905,CollgCr,7,1990,Y,1297,1,3,2,153000
906,Sawyer,5,1962,Y,912,1,2,1,144000
907,SWISU,4,1957,Y,1258,1,3,1,130000
908,NWAmes,6,1966,Y,1674,1,3,2,210000
909,Somerst,8,2006,Y,1608,2,3,2,284000
910,ClearCr,6,1957,Y,1309,1,3,2,170000
911,NAmes,7,2006,Y,1253,1,2,2,246500
912,NridgHt,9,2008,Y,1619,2,3,3,315750
913,NWAmes,6,1973,Y,2090,2,3,2,200000
914,NoRidge,8,2000,Y,2198,2,4,3,250000
915,NridgHt,9,2008,Y,1619,2,3,3,315750
916,NWAmes,6,1966,Y,1674,1,3,2,210000
917,OldTown,6,1945,Y,1360,1,3,2,143000
918,NAmes,5,1959,Y,1752,2,3,1,141000
919,Veenker,6,1976,Y,1262,2,3,2,181500
920,NAmes,5,1951,Y,1600,1,3,2,134800
921,CollgCr,7,2004,Y,1560,2,3,2,189000
922,CollgCr,7,2004,Y,1560,2,3,2,189000
923,NridgHt,9,2007,Y,1603,2,3,3,256300
924,CollgCr,7,2008,Y,1447,2,3,2,204000
925,NAmes,5,1951,Y,1600,1,3,2,134800
926,ClearCr,7,1953,Y,1503,1,3,2,225000
927,NWAmes,6,1978,Y,1114,1,3,2,147500
928,Sawyer,5,1965,Y,1040,1,3,1,129500
929,ClearCr,6,1952,Y,1484,2,3,2,137000
930,CollgCr,7,1990,Y,1297,1,3,2,153000
931,Mitchel,5,1993,Y,1362,1,1,2,143000
932,CollgCr,7,2005,Y,1547,2,3,2,185000
933,Mitchel,6,1994,Y,1328,1,3,2,145500
934,NWAmes,6,1966,Y,1674,1,3,2,210000
935,Somerst,7,2003,Y,1844,2,2,2,242000
936,NridgHt,9,2005,Y,2324,3,4,3,345000
937,Sawyer,5,1962,Y,912,1,2,1,144000
938,NridgHt,7,2005,Y,1718,2,3,3,301000
939,OldTown,6,1922,Y,1316,1,3,1,118000
940,CollgCr,7,2008,Y,1447,2,3,2,204000
941,OldTown,6,1945,Y,1360,1,3,2,143000
942,NoRidge,8,2000,Y,2198,2,4,3,250000
943,NAmes,5,1955,Y,1092,1,3,1,147000
944,CollgCr,7,2005,Y,1547,2,3,2,185000
945,SWISU,4,1957,Y,1258,1,3,1,130000
946,OldTown,7,1931,Y,1774,2,2,2,129900
947,CollgCr,7,2000,Y,1593,2,3,2,177000
948,NridgHt,9,2008,Y,1619,2,3,3,315750
949,OldTown,4,1920,Y,1152,2,2,1,82000
950,CollgCr,6,1977,Y,1108,1,3,2,160000
951,Sawyer,5,1965,Y,1040,1,3,1,129500
952,Mitchel,6,1994,Y,1328,1,3,2,145500
953,CollgCr,7,2003,Y,1710,2,3,2,208500
954,Somerst,7,2003,Y,1844,2,2,2,242000
955,NAmes,5,1969,Y,1339,1,3,1,139000
956,CollgCr,7,2004,Y,1560,2,3,2,189000
957,BrkSide,5,1920,Y,1013,1,3,1,138000
958,NAmes,5,1957,Y,1225,1,3,2,172500
959,CollgCr,7,2003,Y,1710,2,3,2,208500
960,OldTown,9,1921,Y,1210,2,3,1,140000
961,BrkSide,5,1920,Y,1013,1,3,1,138000
962,NAmes,5,1955,Y,1320,1,3,2,180500
963,OldTown,4,1920,Y,1152,2,2,1,82000
964,NAmes,7,2006,Y,1253,1,2,2,246500
965,NAmes,5,1969,Y,1339,1,3,1,139000
966,NWAmes,6,1966,Y,1674,1,3,2,210000
967,NAmes,5,1951,Y,1290,1,2,2,144500
968,SWISU,6,1963,Y,1547,2,3,2,110000
969,OldTown,7,1931,Y,1774,2,2,2,129900
970,ClearCr,6,1952,Y,1484,2,3,2,137000
971,Somerst,8,2006,Y,1608,2,3,2,284000
972,NAmes,5,1957,Y,1225,1,3,2,172500
973,NridgHt,9,2007,Y,1603,2,3,3,256300
974,CollgCr,6,1977,Y,1108,1,3,2,160000
975,NridgHt,9,2004,Y,2411,3,4,3,309000
976,OldTown,9,1921,Y,1210,2,3,1,140000
977,Sawyer,5,1968,Y,1060,1,3,1,154000
978,OldTown,5,1910,Y,981,1,2,1,107500
979,CollgCr,7,1990,Y,1297,1,3,2,153000
980,Veenker,6,1976,Y,1262,2,3,2,181500
981,Somerst,7,2004,Y,1694,2,3,2,307000
982,Somerst,8,2002,Y,1502,2,3,2,230000
983,CollgCr,6,2009,Y,1028,1,2,2,149900
984,CollgCr,7,2008,Y,1447,2,3,2,204000
985,BrkSide,5,1922,N,1092,1,3,1,124000
986,CollgCr,7,2000,Y,1593,2,3,2,177000
987,BrkSide,5,1920,Y,1013,1,3,1,138000
988,Somerst,7,2002,Y,1158,2,3,2,239000
989,Sawyer,5,1968,Y,1060,1,3,1,154000
990,OldTown,6,1920,N,1040,1,3,2,80000
991,Somerst,8,2006,Y,1608,2,3,2,284000
992,Edwards,4,1953,Y,1366,1,3,1,141500
993,CollgCr,7,2005,Y,1456,2,3,2,179900
994,Edwards,4,1920,Y,942,1,3,0,113000
995,NridgHt,9,2008,Y,1619,2,3,3,315750
996,OldTown,9,1921,Y,1210,2,3,1,140000
997,NridgHt,9,2005,Y,2338,2,3,3,311500
998,NridgHt,9,2007,Y,1603,2,3,3,256300
999,CollgCr,7,2004,Y,1704,2,3,2,213500
1000,Edwards,4,1920,Y,942,1,3,0,113000
